STATE,TRACT,P012A002,P012A026,P012B001,P012B002,P012B026,P012C001,P012C002,P012C026,P012D001,P012D002,P012D026,P012E001,P012E002,P012E026,P012F001,P012F002,P012F026,P012G001,P012G002,P012G026,P012H001,P012H002,P012H026,P012I001,P012I002,P012I026,P013001,P013A001,P013B001,P013C001,P013D001,P013E001,P013F001,P013G001,P013H001,P013I001,state,county,tract
42,421200,2183,2296,20,9,11,1,0,1,116,55,61,0,0,0,15,7,8,28,15,13,73,33,40,4418,2154,2264,41.3,41,43,39,39,0,34,10,37,41,42,003,421200
42,422000,2512,2559,30,19,11,1,1,0,284,138,146,2,1,1,7,4,3,41,23,18,37,16,21,5042,2500,2542,44.3,44,35,35,43,41,55,14,47,44,42,003,422000
42,423000,1257,1647,8,4,4,1,1,0,27,9,18,0,0,0,5,4,1,15,8,7,30,17,13,2878,1244,1634,39.7,39,43,36,35,0,38,26,26,40,42,003,423000
42,424000,1504,1865,137,69,68,1,1,0,23,10,13,2,2,0,13,9,4,49,24,25,76,44,32,3312,1473,1839,41.6,42,22,45,25,17,34,23,32,42,42,003,424000
42,425000,1805,2032,30,15,15,14,6,8,6,4,2,0,0,0,6,2,4,31,17,14,45,24,21,3798,1786,2012,38.6,38,32,23,39,0,17,34,37,38,42,003,425000
42,426300,2956,3165,23,10,13,3,2,1,23,12,11,2,1,1,2,2,0,20,10,10,23,13,10,6101,2945,3156,43.5,43,27,14,32,45,35,16,37,43,42,003,426300
42,426400,2179,2560,30,19,11,5,2,3,17,6,11,0,0,0,8,5,3,20,10,10,26,15,11,4720,2169,2551,41.7,41,28,35,31,0,41,16,36,42,42,003,426400
42,426700,1180,1304,16,9,7,1,0,1,115,60,55,0,0,0,4,2,2,44,23,21,21,14,7,2470,1171,1299,40.0,41,29,1,29,0,22,26,24,41,42,003,426700
42,426800,2574,2636,11,9,2,1,1,0,39,13,26,1,1,0,2,1,1,31,16,15,28,11,17,5188,2565,2623,41.0,41,44,65,40,94,23,13,24,41,42,003,426800
42,427000,1904,2003,39,20,19,8,5,3,7,2,5,0,0,0,27,11,16,40,27,13,36,22,14,3887,1890,1997,35.7,36,26,26,26,0,25,22,23,36,42,003,427000
