STATE	TRACT	COUNTY	gisjoin	fid	AREALAND	POP100	H001001	H002001	H002005	H003001	H003002	H003003	P001001	P002001	P002002	P002005	P003001	P003002	P003003	P003004	P003005	P003006	P003007	P003008	P003009	P003010	P003026	P003047	P003063	P003070	P004001	P004002	P004003	P012001	P012002	P012026	P012A001	P012A002	P012A026	P012B001	P012B002	P012B026	P012C001	P012C002	P012C026	P012D001	P012D002	P012D026	P012E001	P012E002	P012E026	P012F001	P012F002	P012F026	P012G001	P012G002	P012G026	P012H001	P012H002	P012H026	P012I001	P012I002	P012I026	P013001	P013A001	P013B001	P013C001	P013D001	P013E001	P013F001	P013G001	P013H001	P013I001
42	31000	1	42001031000	15103	8042424	1345	493	493	0	493	483	10	1345	1345	0	0	1345	1336	1325	6	1	4	0	0	9	9	0	0	0	0	1345	3	1342	1345	667	678	1325	659	666	6	3	3	1	0	1	4	1	3	0	0	0	0	0	0	9	4	5	3	1	2	1324	659	665	37	37	18	14	51	0	0	11	51	37
42	31101	1	42001031101	14649	3114697	5014	2154	2154	0	2154	2079	75	5014	5014	0	0	5014	4980	4900	29	7	8	1	35	34	30	4	0	0	0	5014	104	4910	5014	2377	2637	4900	2312	2588	29	18	11	7	3	4	8	4	4	1	1	0	35	20	15	34	19	15	104	59	45	4841	2280	2561	36	37	30	27	20	20	28	12	25	37
42	31102	1	42001031102	14673	17309519	2041	773	773	0	773	741	32	2041	2041	0	0	2041	2027	1999	9	0	2	0	17	14	13	1	0	0	0	2041	27	2014	2041	992	1049	1999	973	1026	9	5	4	0	0	0	2	1	1	0	0	0	17	6	11	14	7	7	27	9	18	1992	971	1021	36	36	44	0	47	0	11	16	21	36
42	31201	1	42001031201	14648	67075113	3232	1267	1267	0	1267	1191	76	3232	3232	0	0	3232	3210	3115	47	11	15	0	22	22	21	1	0	0	0	3232	64	3168	3232	1584	1648	3115	1512	1603	47	26	21	11	7	4	15	8	7	0	0	0	22	17	5	22	14	8	64	41	23	3085	1496	1589	40	40	16	18	40	0	18	12	16	40
42	31202	1	42001031202	14674	28283284	2269	788	788	0	788	773	15	2269	2269	0	0	2269	2259	2242	4	2	8	1	2	10	10	0	0	0	0	2269	12	2257	2269	1125	1144	2242	1114	1128	4	2	2	2	0	2	8	2	6	1	1	0	2	2	0	10	4	6	12	4	8	2235	1112	1123	37	37	60	39	44	18	17	22	15	37
42	31203	1	42001031203	14625	45231607	2989	1112	1112	0	1112	1074	38	2989	2989	0	0	2989	2972	2939	2	7	20	0	4	17	17	0	0	0	0	2989	25	2964	2989	1476	1513	2939	1455	1484	2	0	2	7	4	3	20	7	13	0	0	0	4	1	3	17	9	8	25	11	14	2919	1446	1473	39	39	44	42	16	0	26	21	18	39
42	31300	1	42001031300	12244	4061516	3947	1692	1692	0	1692	1586	106	3947	3947	0	0	3947	3902	3839	22	4	17	0	20	45	44	1	0	0	0	3947	50	3897	3947	1875	2072	3839	1820	2019	22	15	7	4	3	1	17	7	10	0	0	0	20	9	11	45	21	24	50	25	25	3814	1807	2007	34	34	14	44	27	0	27	17	23	34
42	31401	1	42001031401	12241	29377531	3423	1358	1358	0	1358	1295	63	3423	3423	0	0	3423	3400	3192	105	13	35	1	54	23	20	2	1	0	0	3423	102	3321	3423	1651	1772	3192	1517	1675	105	64	41	13	8	5	35	16	19	1	1	0	54	32	22	23	13	10	102	54	48	3150	1500	1650	46	47	32	30	39	14	24	23	24	47
42	31402	1	42001031402	13205	57252864	2295	1007	1007	0	1007	936	71	2295	2295	0	0	2295	2272	2174	40	4	48	0	6	23	21	2	0	0	0	2295	21	2274	2295	1121	1174	2174	1066	1108	40	18	22	4	3	1	48	22	26	0	0	0	6	1	5	23	11	12	21	8	13	2161	1060	1101	42	43	29	22	33	0	18	39	17	43
42	31501	1	42001031501	12242	1503028	2896	599	599	0	599	558	41	2896	2896	0	0	2896	2856	2635	61	15	37	1	107	40	39	1	0	0	0	2896	170	2726	2896	1366	1530	2635	1230	1405	61	29	32	15	8	7	37	18	19	1	0	1	107	61	46	40	20	20	170	95	75	2573	1195	1378	21	21	20	25	20	32	22	19	21	21
42	31502	1	42001031502	12243	2748965	4594	2160	2160	0	2160	1983	177	4594	4594	0	0	4594	4456	3766	373	13	59	2	243	138	137	1	0	0	0	4594	431	4163	4594	2142	2452	3766	1731	2035	373	176	197	13	7	6	59	22	37	2	0	2	243	140	103	138	66	72	431	232	199	3635	1660	1975	33	37	25	23	37	28	21	15	20	37
